variety,@vboone,@paulgwine ,@mattkettmann,@wawinereport,@gordone_cellars,@suskostrzewa,@JoeCz,@wineschach,@laurbuzz,@vossroger,@winewchristina
Cabernet Franc-Merlot,1,1,1,1,0,0,0,0,0,0,0
Gamay Noir,0,1,0,0,0,0,0,0,0,0,0
Colombard,1,0,0,0,1,0,0,0,0,0,0
Merlot-Cabernet Sauvignon,1,1,1,0,0,0,0,0,0,0,0
Graciano,1,1,0,1,1,0,0,0,0,0,0
Charbono,1,0,1,0,1,0,0,0,0,0,0
Touriga Nacional,1,1,0,1,1,0,0,0,0,0,0
Teroldego,1,0,1,0,1,0,0,0,0,0,0
Claret,1,1,1,0,1,0,0,0,0,0,0
Syrah-Mourvèdre,0,1,1,1,0,0,0,0,0,0,0
Mission,1,0,1,0,0,0,0,0,0,0,0
Shiraz,1,1,0,1,1,0,1,0,0,0,0
Syrah-Petite Sirah,1,1,1,1,0,0,0,0,0,0,0
Roussanne-Viognier,1,1,1,0,1,0,0,0,0,0,0
Counoise,0,1,0,1,0,0,0,0,0,0,0
Blaufränkisch,0,1,1,1,0,0,0,0,0,0,0
Vidal Blanc,0,0,0,0,0,1,1,0,0,0,0
Auxerrois,0,1,0,1,0,0,0,0,0,0,0
Tempranillo Blend,1,0,0,0,0,0,0,0,0,0,0
Cabernet Sauvignon-Cabernet Franc,1,1,1,0,0,0,0,0,0,0,0
Petite Verdot,1,1,0,1,0,0,0,0,0,0,0
Merlot-Cabernet,1,1,0,0,0,0,0,0,0,0,0
Pinot-Chardonnay,1,1,0,0,0,0,0,0,0,0,0
Lemberger,0,1,0,1,0,0,0,0,0,0,0
Orange Muscat,0,1,1,0,1,0,0,0,0,0,0
Picpoul,1,0,1,1,0,0,0,0,0,0,0
Alicante Bouschet,1,0,1,0,0,0,0,0,0,0,0
Merlot-Cabernet Franc,0,1,0,1,0,0,0,0,0,0,0
Sagrantino,1,0,0,1,0,0,0,0,0,0,0
Torrontés,0,0,0,0,1,0,0,0,0,0,0
Zweigelt,0,1,0,1,0,0,0,0,0,0,0
Sangiovese Cabernet,1,1,1,0,0,0,0,0,0,0,0
Cabernet Sauvignon-Sangiovese,1,1,1,0,0,0,0,0,0,0,0
Viognier-Roussanne,0,1,0,1,0,0,0,0,0,0,0
Malvasia Bianca,1,0,1,0,1,0,0,0,0,0,0
Grenache Blend,1,0,1,0,0,0,0,0,0,0,0
Syrah-Cabernet,0,1,1,0,0,0,0,0,0,0,0
Cabernet-Syrah,0,1,0,0,0,0,0,0,0,0,0
Chardonnay-Semillon,1,0,0,0,0,0,0,0,0,0,0
Aglianico,1,0,1,0,0,0,0,0,0,0,0
Ugni Blanc,0,0,1,0,0,0,0,0,0,0,0
Valdiguié,1,0,1,0,0,0,0,0,0,0,0
Lagrein,1,1,1,0,0,0,0,0,0,0,0
Verdejo,1,0,0,0,1,0,0,0,0,0,0
Vignoles,0,0,0,0,0,1,1,0,0,0,0
Gamay,0,1,0,0,0,0,0,0,0,0,0
Monastrell,1,1,0,0,0,0,0,0,0,0,0
Cabernet Merlot,0,1,0,1,0,1,0,0,0,0,0
Syrah-Viognier,1,0,0,0,0,0,0,0,0,0,0
Sangiovese-Syrah,1,0,1,0,0,0,0,0,0,0,0
Carignan,0,0,1,0,1,0,0,0,0,0,0
Garnacha,1,1,0,0,0,0,0,0,0,0,0
Sangiovese-Cabernet Sauvignon,0,0,1,1,1,0,0,0,0,0,0
Chardonnay-Viognier,1,0,0,1,0,0,0,0,0,0,0
Black Muscat,1,0,0,0,1,0,0,1,0,0,0
White Riesling,0,1,0,0,0,0,0,0,0,0,0
Tempranillo-Garnacha,0,1,0,0,0,0,0,0,0,0,0
Malbec-Tannat,0,1,0,0,0,0,0,0,0,0,0
Souzao,0,0,0,0,1,0,0,0,0,0,0
Dornfelder,0,0,1,0,0,0,0,0,0,0,0
Marsanne-Roussanne,1,0,0,0,0,0,0,0,0,0,0
Rosato,0,0,0,0,1,0,0,0,0,0,0
Arneis,0,0,1,0,0,0,0,0,0,0,0
Muscadine,1,0,0,0,0,0,0,0,0,0,0
Aligoté,0,0,0,1,0,0,0,0,0,0,0
Madeleine Angevine,0,1,0,1,0,0,0,0,0,0,0
Muscat Blanc,0,0,0,1,1,0,0,0,0,0,0
Pinot Meunier,1,0,0,0,0,0,0,0,0,0,0
Syrah-Tempranillo,1,0,0,0,0,0,0,0,0,0,0
Muscat Hamburg,0,0,1,0,1,0,0,0,0,0,0
Viognier-Chardonnay,0,0,1,0,0,0,0,0,0,0,0
Montepulciano,0,0,0,0,1,0,0,0,0,0,0
Grenache Noir,0,0,1,0,0,0,0,0,0,0,0
Tempranillo-Cabernet Sauvignon,1,1,0,0,0,0,0,0,0,0,0
Viognier-Gewürztraminer,0,1,0,0,0,0,0,0,0,0,0
Müller-Thurgau,0,1,0,0,0,0,0,0,0,0,0
Pinot Noir-Syrah,0,1,0,0,0,0,0,0,0,0,0
Symphony,0,0,0,0,1,0,0,0,0,0,0
Pinotage,1,1,0,0,0,0,0,0,0,0,0
Nero d'Avola,0,0,0,0,1,0,0,0,0,0,0
Pinot Blanc-Pinot Noir,0,1,0,0,0,0,0,0,0,0,0
Tinta Madeira,0,0,0,0,1,0,0,0,0,0,0
Pinot Auxerrois,0,1,0,0,0,0,0,0,0,0,0
Tempranillo-Syrah,0,1,0,0,0,0,0,0,0,0,0
Morio Muskat,0,1,0,0,0,0,0,0,0,0,0
Chardonnay-Pinot Blanc,0,1,0,0,0,0,0,0,0,0,0
Semillon-Chardonnay,0,1,0,0,0,0,0,0,0,0,0
Pinot Gris-Gewürztraminer,0,0,0,1,0,0,0,0,0,0,0
Muskat,0,0,1,0,0,0,0,0,0,0,0
Edelzwicker,0,1,0,0,0,0,0,0,0,0,0
Gewürztraminer-Riesling,0,1,0,0,0,0,0,0,0,0,0
Barbera-Nebbiolo,0,1,0,0,0,0,0,0,0,0,0
Palomino,0,0,0,0,1,0,0,0,0,0,0
Johannisberg Riesling,0,1,0,0,0,0,0,0,0,0,0
Tocai Friulano,0,0,1,0,0,0,0,0,0,0,0
Mondeuse,0,1,0,0,0,0,0,0,0,0,0
Falanghina,0,0,1,0,0,0,0,0,0,0,0
Marsanne-Viognier,0,0,0,1,0,0,0,0,0,0,0
Touriga Nacional Blend,0,1,0,0,0,0,0,0,0,0,0
Muscat Blanc à Petits Grains,0,0,0,0,1,0,0,0,0,0,0
Scheurebe,1,0,0,0,0,0,0,0,0,0,0
Moscato Giallo,1,0,0,0,0,0,0,0,0,0,0
Negrette,0,0,1,0,0,0,0,0,0,0,0
Sherry,0,0,1,0,0,0,0,0,0,0,0
Clairette,0,0,0,0,1,0,0,0,0,0,0
Cayuga,0,1,0,0,0,0,0,0,0,0,0
Rosado,0,0,0,0,1,0,0,0,0,0,0
Cabernet Sauvignon-Malbec,0,0,1,0,0,0,0,0,0,0,0
Sangiovese Grosso,0,0,0,1,0,0,0,0,0,0,0
Alvarelhão,1,0,0,0,0,0,0,0,0,0,0
Garnacha Blanca,0,0,0,1,0,0,0,0,0,0,0
Baco Noir,0,1,0,0,0,0,0,0,0,0,0
Malbec-Cabernet Sauvignon,0,0,0,1,0,0,0,0,0,0,0
Mourvèdre-Syrah,0,1,0,0,0,0,0,0,0,0,0
Tinta Amarela,0,1,0,0,0,0,0,0,0,0,0
Syrah-Merlot,0,0,1,0,0,0,0,0,0,0,0
Syrah-Grenache-Viognier,1,0,0,0,0,0,0,0,0,0,0
Abouriou,1,0,0,0,0,0,0,0,0,0,0
Syrah-Petit Verdot,0,0,1,0,0,0,0,0,0,0,0
Grenache-Mourvèdre,1,0,0,0,0,0,0,0,0,0,0
Tannat-Syrah,0,0,1,0,0,0,0,0,0,0,0
